ym,gp_margin,revenue_yoy,net_profit_yoy,roe
2007-04,0.0688,0.0136,-0.0219,
2007-10,0.071,0.0198,0.0405,
2008-04,0.0283,-0.0302,-0.0928,
2008-10,0.0089,0.0606,0.0349,
2009-04,0.0131,0.0708,-0.0462,
2009-10,0.0597,0.1065,0.026,
2010-04,0.1568,0.0544,0.0552,0.1479
2010-10,0.1601,0.0858,0.0677,
2011-04,0.0767,-0.0236,-0.1086,0.0208
2011-10,0.0844,-0.0087,-0.1074,0.0047
2012-04,0.0747,0.0493,-0.032,-0.0296
2012-10,0.0973,0.0972,-0.001,0.0844
2013-04,0.1461,0.0563,0.0172,0.0446
2013-10,0.1757,0.0898,0.0136,0.0806
2014-04,0.1778,0.0898,-0.0786,-0.0085
2014-10,0.1836,0.1247,-0.0306,0.1113
2015-04,0.1544,0.0502,-0.0488,0.0087
2015-10,0.1961,0.1032,0.0095,0.1178
2016-04,0.1618,0.1406,0.0069,0.0588
2016-10,0.1999,0.1676,0.0545,0.1558
2017-04,0.2298,0.1832,-0.0444,0.0571
2017-10,0.1598,0.1901,-0.0285,0.0992
2018-04,0.0742,-0.0067,-0.1596,-0.0963
2018-10,0.0184,0.0441,-0.079,0.0373
2019-04,0.0322,0.0857,-0.035,-0.0383
2019-10,0.0731,0.0953,-0.0309,0.0652
2020-04,0.1113,0.1149,0.0249,0.0572
2020-10,0.144,0.1227,0.0078,0.1138
2021-04,0.1608,-0.0538,-0.0683,-0.0132
2021-10,0.1234,0.0618,0.0132,0.0899
2022-04,0.1099,0.1196,-0.0159,0.0374
2022-10,0.0673,0.0902,-0.0473,0.1362
2023-04,0.0464,0.1007,-0.0016,0.0391
2023-10,0.0999,0.1078,0.0453,0.1422
2024-04,0.1216,0.093,-0.011,0.0497
2024-10,0.1008,0.1171,-0.0202,0.0677
2025-04,0.0725,-0.0027,-0.1427,-0.0089
2025-09,0.0803,0.1046,-0.0283,0.1327
2025-10,0.0918,0.0737,-0.0685,0.0988
2025-11,0.0718,0.1309,0.0134,0.1209
2025-12,0.0767,0.1293,0.0092,0.1222
2026-01,0.077,0.1294,0.0087,0.1242
2026-02,0.0755,0.1315,0.0107,0.1218
2026-03,0.0818,0.1356,0.0185,0.1528
2026-04,0.0629,0.0965,-0.0097,0.0732
2026-05,0.0448,0.1244,-0.0107,0.1004
2026-06,0.058,0.1353,-0.0046,0.0968
2026-07,0.0537,0.121,-0.0163,0.1008
