ym,ic_accrual,n,q1,q2,q3,q4,q5
2006-07,0.0278,1014,0.02382,0.00893,0.01941,0.01482,0.01303
2006-08,0.0434,1014,0.05541,0.04445,0.03463,0.03984,0.04247
2006-09,-0.0435,1022,-0.01804,0.00611,0.00324,0.00157,0.00071
2006-10,0.0296,1022,0.04612,0.03706,0.0447,0.0434,0.03576
2006-11,-0.0563,1022,0.04437,0.05437,0.06648,0.05529,0.05931
2006-12,-0.0077,1022,0.25722,0.20825,0.26813,0.22424,0.24796
2007-01,-0.013,1022,0.17809,0.18777,0.19645,0.18035,0.18171
2007-02,-0.0405,1022,0.17039,0.16529,0.19174,0.19549,0.17573
2007-03,-0.046,1022,0.30586,0.36051,0.36261,0.38044,0.3304
2007-04,-0.0327,1022,0.08746,0.10123,0.08452,0.09447,0.11637
2007-05,0.0089,1049,-0.15076,-0.1498,-0.19134,-0.16389,-0.1404
2007-06,0.059,1061,0.24643,0.20586,0.24745,0.22901,0.20505
2007-07,-0.0626,1071,0.11176,0.11032,0.12059,0.12656,0.13352
2007-08,-0.074,1073,0.04366,0.03194,0.03962,0.05334,0.06045
2007-09,0.0248,1090,-0.08867,-0.10845,-0.10695,-0.08815,-0.10319
2007-10,-0.0299,1092,-0.0811,-0.06996,-0.06136,-0.06314,-0.0608
2007-11,0.0637,1138,0.20429,0.19915,0.18981,0.19616,0.18554
2007-12,0.0005,1140,-0.06183,-0.06831,-0.06371,-0.06367,-0.06149
2008-01,0.0175,1141,0.06597,0.09808,0.10116,0.10149,0.06484
2008-02,-0.0473,1141,-0.20466,-0.18477,-0.19502,-0.1782,-0.18299
2008-03,-0.0615,1143,-0.05582,-0.05341,-0.04253,-0.02725,-0.04329
2008-04,-0.0745,1143,-0.04347,-0.02338,-0.02094,-0.03412,-0.01306
2008-05,-0.0662,1179,-0.25235,-0.24341,-0.25321,-0.24654,-0.22898
2008-06,0.102,1190,0.10339,0.09037,0.09282,0.07748,0.07303
2008-07,-0.0456,1197,-0.22125,-0.2304,-0.21817,-0.20025,-0.21804
2008-08,-0.004,1197,-0.07721,-0.08624,-0.06504,-0.07295,-0.0824
2008-09,-0.0018,1204,-0.2448,-0.24586,-0.26677,-0.25333,-0.24208
2008-10,0.1047,1205,0.20948,0.18746,0.20021,0.1607,0.16716
2008-11,0.1153,1229,0.1139,0.07419,0.0496,0.03725,0.05909
2008-12,0.0339,1240,0.15359,0.16584,0.16518,0.16286,0.13748
2009-01,-0.1036,1241,0.07505,0.09026,0.07426,0.09557,0.09866
2009-02,0.0836,1242,0.24133,0.22379,0.20755,0.20998,0.20385
2009-03,0.1047,1243,0.11014,0.07637,0.07171,0.0509,0.051
2009-04,-0.0562,1243,0.05226,0.06501,0.06724,0.07283,0.07026
2009-05,-0.0755,1266,0.12336,0.06377,0.05926,0.06144,0.07902
2009-06,-0.0531,1266,0.13293,0.14497,0.13801,0.16223,0.15782
2009-07,-0.0218,1266,-0.14865,-0.16241,-0.15753,-0.15772,-0.13876
2009-08,0.0799,1266,0.079,0.03858,0.03002,0.03204,0.03443
2009-09,0.0046,1278,0.11414,0.1227,0.11672,0.11459,0.11594
2009-10,-0.0018,1278,0.1455,0.14618,0.15763,0.13349,0.14359
