ym,ic_accrual,n,q1,q2,q3,q4,q5
2007-04,-0.0523,880,0.08728,0.07838,0.07938,0.11181,0.12356
2007-10,-0.0058,907,-0.07735,-0.06957,-0.06691,-0.0645,-0.06997
2008-04,-0.0335,928,-0.03128,-0.02621,-0.01718,-0.02208,-0.02634
2008-10,0.1065,1038,0.2017,0.19741,0.17682,0.17149,0.16698
2009-04,-0.0043,1058,0.06927,0.06446,0.0779,0.06164,0.07207
2009-10,-0.0151,964,0.14953,0.1507,0.14546,0.15434,0.14845
2010-04,0.1011,1123,-0.06652,-0.06799,-0.08079,-0.09391,-0.08987
2010-10,0.0534,939,0.01804,0.01873,0.00331,0.00413,-0.00392
2011-04,-0.0023,1060,-0.06863,-0.07145,-0.06887,-0.06432,-0.06817
2011-10,0.046,1397,-0.03764,-0.03362,-0.04999,-0.04426,-0.04402
2012-04,0.0631,1319,0.02482,0.03052,0.02604,0.01827,0.02203
2012-10,-0.0799,1600,-0.11397,-0.11731,-0.10954,-0.11198,-0.09994
2013-04,0.2053,1151,0.18244,0.1623,0.1563,0.15499,0.11672
2013-10,0.187,1791,0.11765,0.10641,0.09485,0.07793,0.05265
2014-04,0.1085,1729,0.03937,0.04084,0.0303,0.02291,0.01481
2014-10,-0.0696,1773,0.05205,0.04853,0.06155,0.05116,0.05771
2015-04,0.1152,1664,0.30561,0.26532,0.27262,0.23522,0.20309
2015-10,0.0285,1355,0.10417,0.09229,0.11059,0.11481,0.08977
2016-04,0.097,1444,-0.00695,0.00018,0.00077,-0.01738,-0.02109
2016-10,-0.0558,2123,0.01896,0.03625,0.02666,0.03548,0.03194
2017-04,0.0051,1351,-0.07085,-0.06248,-0.0671,-0.07014,-0.06872
2017-10,-0.0673,1981,-0.06864,-0.05205,-0.06631,-0.05872,-0.04672
2018-04,-0.1085,1227,-0.02219,-0.0223,-4e-05,0.00211,-0.00313
2018-10,0.0798,2359,0.06218,0.0682,0.05858,0.05196,0.05023
2019-04,0.0118,2169,-0.03814,-0.04223,-0.04375,-0.04847,-0.04472
2019-10,-0.0941,2496,-0.02701,-0.02423,-0.02145,-0.01664,-0.01287
2020-04,-0.0096,2087,0.02618,0.02356,0.01989,0.02534,0.02502
2020-10,-0.0884,1876,0.01771,0.02387,0.02844,0.02889,0.04757
2021-04,0.0184,2442,0.06148,0.07241,0.06042,0.05347,0.06873
2021-10,0.084,1841,0.12147,0.12781,0.12079,0.10478,0.11232
2022-04,0.0377,2111,0.10861,0.11987,0.11086,0.11995,0.10127
2022-10,-0.159,3552,0.05538,0.07377,0.06842,0.08658,0.10715
2023-04,0.0667,1947,0.0187,0.02031,0.01208,0.00816,0.00609
2023-10,-0.0106,3251,0.03305,0.03921,0.03461,0.03598,0.0373
2024-04,-0.0369,3215,-0.0103,-0.01253,-0.00502,-0.0058,0.00091
2024-10,0.0247,3400,0.04491,0.05168,0.04214,0.04395,0.04194
2025-04,-0.0223,3564,0.04549,0.04607,0.05905,0.04877,0.05737
2025-09,-0.052,3224,0.01441,0.01291,0.01255,0.01636,0.02313
2025-10,-0.0363,4302,-0.0034,-0.00686,-0.00862,-0.00453,0.01005
2025-11,0.0812,4503,0.04173,0.0253,0.01843,0.00927,0.01483
2025-12,-0.0075,4511,0.08052,0.07774,0.08363,0.07742,0.07922
2026-01,0.0078,4523,0.04173,0.04379,0.04243,0.04083,0.04021
2026-02,-0.0719,4528,-0.09545,-0.105,-0.09538,-0.08802,-0.08008
2026-03,0.0188,4538,0.07672,0.07659,0.07229,0.06136,0.06413
2026-04,0.0129,4598,-0.02378,-0.0235,-0.02914,-0.03104,-0.03407
2026-05,0.0741,4610,-0.02249,-0.02989,-0.03231,-0.0375,-0.06304
2026-06,-0.0941,4618,-0.07921,-0.08741,-0.0726,-0.05678,-0.03483
2026-07,0.0443,4626,0.08658,0.09044,0.08916,0.07313,0.07488
