year,return
2006,0.2657005507954924
2007,1.1650183355295174
2008,-0.20552675465838188
2009,0.6328803108658543
2010,0.21040462120733627
2011,-0.17522982601769377
2012,-0.007043194968785582
2013,0.25534748452568756
2014,0.2158562833735458
2015,0.7127378986432091
2016,-0.07581702254847611
2017,-0.029987000231105676
2018,-0.0006414981781626139
2019,0.17812388721900807
2020,0.11231206291206464
2021,0.2802874355452294
2022,0.0009482248681440542
2023,0.010001921570426564
2024,0.0672766822401365
2025,0.11942087399297852
2026,-0.013724844129765823
