date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,0,0,,,,,
2006-03-01,0,0,,,,,
2006-04-03,0,0,,,,,
2006-05-08,9,9,001696|002022|000937|000933|002025|000155|600428|600096|000912,000155|000912|000933|000937|001696|002022|002025|600096|600428,,,
2006-06-01,17,17,001696|002022|600880|600227|000937|600420|002025|600997|600428|000155|000983|600583|600096|000912|600500|600418|600019,000155|000912|000937|000983|001696|002022|002025|600019|600096|600227|600418|600420|600428|600500|600583|600880|600997,,000933,
2006-07-03,20,20,001696|002028|002010|002022|600436|600348|600880|600227|000937|600420|600123|002025|000933|600997|000066|000155|600428|000983|600583|600096,000066|000155|000933|000937|000983|001696|002010|002022|002025|002028|600096|600123|600227|600348|600420|600428|600436|600583|600880|600997,,000912|600500|600418|600019,
2006-08-01,20,20,600525|600276|002010|002028|001696|002022|600348|600880|600227|000937|600420|000731|600123|600596|002025|000933|600829|600809|600997|000983,000731|000933|000937|000983|001696|002010|002022|002025|002028|600123|600227|600276|600348|600420|600525|600596|600809|600829|600880|600997,,000155|600428|600583|600096|600436|000066,
2006-09-01,20,20,002050|002028|001696|600276|600467|002010|002022|600348|000690|600497|600880|000006|600650|000937|600708|600420|600079|000731|600271|600123,000006|000690|000731|000937|001696|002010|002022|002028|002050|600079|600123|600271|600276|600348|600420|600467|600497|600650|600708|600880,,600227|002025|000933|600997|000983|600525|600596|600829|600809,
2006-10-09,20,20,002050|001696|002028|600276|002010|600497|002022|600348|000690|000006|600708|600650|600420|000937|600079|600467|000731|600123|600271|000933,000006|000690|000731|000933|000937|001696|002010|002022|002028|002050|600079|600123|600271|600276|600348|600420|600467|600497|600650|600708,,600880,
