date,code,action,price
2006-02-06,002033,BUY,1.7774517
2006-02-06,600886,BUY,1.2315457
2006-02-06,000933,BUY,1.6616433
2006-02-06,600428,BUY,2.48531535
2006-03-01,000550,BUY,2.44337808
2006-03-01,600010,BUY,0.94996753
2006-04-03,600010,SELL_REBAL,0.66789526
2006-04-03,002040,BUY,3.04000998
2006-05-08,002033,SELL_REBAL,2.11942836
2006-05-08,600886,SELL_REBAL,1.2302696
2006-05-08,002040,SELL_REBAL,3.31407468
2006-05-08,001696,BUY,0.61866142
2006-05-08,000937,BUY,0.92942586
2006-05-08,000155,BUY,3.9280672
2006-06-01,000933,SELL_REBAL,2.0590847
2006-06-01,600525,BUY,1.73196569
2006-06-01,600227,BUY,2.31550452
2006-06-01,002025,BUY,9.4513431
2006-06-01,600997,BUY,2.54810045
2006-06-01,600761,BUY,3.56972275
2006-06-01,000983,BUY,1.5761944
2006-06-01,000069,BUY,2.3752288
2006-06-01,600096,BUY,7.62712012
2006-06-01,600019,BUY,1.98145713
2006-07-03,600019,SELL_REBAL,1.95486039
2006-07-03,002050,BUY,0.69730591
2006-07-03,600436,BUY,3.79082715
2006-07-03,600348,BUY,1.0382271
2006-07-03,600123,BUY,2.171834
2006-07-03,000933,BUY,2.15962
2006-07-03,600183,BUY,2.35876938
2006-07-03,600026,BUY,4.76642232
2006-08-01,600525,SELL_REBAL,2.01492809
2006-08-01,000155,SELL_REBAL,4.57665504
2006-08-01,600428,SELL_REBAL,2.36428227
2006-08-01,000069,SELL_REBAL,1.82344
2006-08-01,600096,SELL_REBAL,6.99466396
2006-08-01,600436,SELL_REBAL,3.22210295
2006-08-01,600026,SELL_REBAL,4.67815524
2006-08-01,600276,BUY,0.92337234
2006-08-01,002010,BUY,2.0941284
2006-08-01,000731,BUY,5.08330254
2006-08-01,600596,BUY,2.3851224
2006-08-01,600829,BUY,5.32592907
2006-08-01,600809,BUY,4.55913528
2006-08-01,600012,BUY,2.31292928
2006-09-01,001696,SELL_REBAL,1.05617632
2006-09-01,600227,SELL_REBAL,2.21770353
2006-09-01,000550,SELL_REBAL,4.51007151
2006-09-01,600183,SELL_REBAL,2.26837091
2006-09-01,000983,SELL_REBAL,1.23229744
2006-09-01,600761,SELL_REBAL,3.953788
2006-09-01,600012,SELL_REBAL,2.25872
2006-09-01,002033,BUY,2.652048
2006-09-01,002028,BUY,2.93848461
2006-09-01,000157,BUY,0.54319176
2006-09-01,600497,BUY,2.01043755
2006-09-01,000006,BUY,1.2404472
2006-09-01,600650,BUY,4.62635008
2006-09-01,600271,BUY,3.39458652
2006-10-09,600829,SELL_REBAL,6.23687515
2006-10-09,600271,SELL_REBAL,3.88867038
2006-10-09,000528,BUY,2.37706272
2006-10-09,600875,BUY,8.01569552
2006-11-01,002050,SELL_REBAL,0.69730591
2006-11-01,600123,SELL_REBAL,2.14888632
2006-11-01,000933,SELL_REBAL,1.94149838
