date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,0,0,,,,,
2006-03-01,0,0,,,,,
2006-04-03,0,0,,,,,
2006-05-08,10,10,002025|001696|000937|002022|000933|600428|000550|000155|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,,
2006-06-01,20,20,002025|600428|000937|002022|600880|600420|600997|600227|000155|000983|600525|001696|600096|600583|000069|600761|000550|000912|600500|600418,000069|000155|000550|000912|000937|000983|001696|002022|002025|600096|600227|600418|600420|600428|600500|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,002025|600428|600436|000937|002028|000933|600123|600880|002022|600420|600348|000155|600227|600997|000983|600525|001696|002010|600309|600096,000155|000933|000937|000983|001696|002010|002022|002025|002028|600096|600123|600227|600309|600348|600420|600428|600436|600525|600880|600997,,000550|000912|600583|000069|600761|600500|600418,
2006-08-01,20,20,600829|002025|600276|600809|000937|600123|000933|002028|600436|600428|002022|600420|600880|600227|600012|600596|600348|600525|000731|000155,000155|000731|000933|000937|002022|002025|002028|600012|600123|600227|600276|600348|600420|600428|600436|600525|600596|600809|600829|600880,,600997|000983|001696|600096|002010|600309,
2006-09-01,20,20,600829|002025|000006|600497|600276|002028|600748|002033|600875|600809|600650|002022|600123|000937|600420|600428|000933|600880|600436|600596,000006|000933|000937|002022|002025|002028|002033|600123|600276|600420|600428|600436|600497|600596|600650|600748|600809|600829|600875|600880,,600227|600348|600525|000155|600012|000731,
2006-10-09,20,20,000006|600748|600650|002028|002025|600497|600428|600276|600875|000937|002033|600420|600809|002022|600436|600123|600348|000933|002050|000690,000006|000690|000933|000937|002022|002025|002028|002033|002050|600123|600276|600348|600420|600428|600436|600497|600650|600748|600809|600875,,600829|600880|600596,
