date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,0,0,,,,,
2006-03-01,0,0,,,,,
2006-04-03,0,0,,,,,
2006-05-08,0,0,,,,,
2006-06-01,0,0,,,,,
2006-07-03,0,0,,,,,
2006-08-01,0,0,,,,,
2006-09-01,0,0,,,,,
2006-10-09,0,0,,,,,
2006-11-01,20,19,002028|600497|002025|002003|000937|600276|600227|600725|600123|600348|600420|600875|600525|002010|600809|002033|600880|600150|000060|000933,000060|000933|000937|002003|002010|002025|002028|002033|600123|600150|600227|600276|600348|600420|600525|600725|600809|600875|600880,600497,,
2006-12-01,20,20,002028|600497|002025|002003|600227|000937|600276|600725|600123|600420|600348|600525|600436|002010|600809|600880|000060|002033|000933|000731,000060|000731|000933|000937|002003|002010|002025|002028|002033|600123|600227|600276|600348|600420|600436|600497|600525|600725|600809|600880,,600875|600150,
2007-01-04,20,20,002028|600497|002025|002003|600227|000937|600420|600276|600725|600123|600348|600436|002010|000060|600809|600880|600525|002033|000933|600596,000060|000933|000937|002003|002010|002025|002028|002033|600123|600227|600276|600348|600420|600436|600497|600525|600596|600725|600809|600880,,000731,
2007-02-01,20,20,600725|002028|002025|002003|600497|000937|600227|600276|600420|600348|600123|600436|600525|002033|002010|000060|002022|600517|600518|000933,000060|000933|000937|002003|002010|002022|002025|002028|002033|600123|600227|600276|600348|600420|600436|600497|600517|600518|600525|600725,,600809|600880|600596,
2007-03-01,20,20,002028|600227|600725|002025|600497|002003|600276|600420|600123|600348|600436|000937|600809|002033|600525|002010|600517|002022|000933|600012,000933|000937|002003|002010|002022|002025|002028|002033|600012|600123|600227|600276|600348|600420|600436|600497|600517|600525|600725|600809,,000060|600518,
2007-04-02,20,20,600436|600497|002025|002028|600227|600725|600525|600276|002003|600348|600012|600123|600420|002033|000937|002010|002022|600809|002046|000987,000937|000987|002003|002010|002022|002025|002028|002033|002046|600012|600123|600227|600276|600348|600420|600436|600497|600525|600725|600809,,600517|000933,
