date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,0,0,,,,,
2006-03-01,0,0,,,,,
2006-04-03,0,0,,,,,
2006-05-08,10,10,002025|600428|000937|001696|000933|002022|000155|000550|600096|000912,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,,
2006-06-01,20,20,002025|600428|000937|000155|600880|600420|000983|002022|600227|600997|001696|600096|600583|600525|000069|600761|000912|600500|000550|600418,000069|000155|000550|000912|000937|000983|001696|002022|002025|600096|600227|600418|600420|600428|600500|600525|600583|600761|600880|600997,,000933,
2006-07-03,20,20,600428|002025|000937|002028|600436|000155|600348|000933|600880|600123|000983|600420|002022|600227|600997|001696|600309|600583|002010|600096,000155|000933|000937|000983|001696|002010|002022|002025|002028|600096|600123|600227|600309|600348|600420|600428|600436|600583|600880|600997,,000912|000550|600525|000069|600761|600500|600418,
2006-08-01,20,20,600829|002025|600428|000937|600809|600276|002028|000155|600123|000933|600596|600348|600880|600436|600420|002022|600227|000731|600997|600012,000155|000731|000933|000937|002022|002025|002028|600012|600123|600227|600276|600348|600420|600428|600436|600596|600809|600829|600880|600997,,000983|001696|600583|600096|600309|002010,
2006-09-01,20,20,600829|600748|600875|600650|002025|002028|600428|000006|600497|000937|000155|600809|600276|600420|600596|600880|600123|002022|002033|000933,000006|000155|000933|000937|002022|002025|002028|002033|600123|600276|600420|600428|600497|600596|600650|600748|600809|600829|600875|600880,,600348|600436|600227|600997|000731|600012,
2006-10-09,20,20,600748|600650|000006|002028|600428|002025|600875|000155|600497|000937|600420|600596|600348|600809|600123|600436|600997|002050|000933|002022,000006|000155|000933|000937|002022|002025|002028|002050|600123|600348|600420|600428|600436|600497|600596|600650|600748|600809|600875|600997,,600829|600276|600880|002033,
