date,value
2026-04-10,748.9614
2026-04-13,749.2481
2026-04-14,753.2505
2026-04-15,749.5884
2026-04-16,762.3714
2026-04-17,759.1644
2026-04-20,765.0629
2026-04-21,763.1704
2026-04-22,761.9155
2026-04-23,750.1341
2026-04-24,751.6766
2026-04-27,761.9341
2026-04-28,754.7749
2026-04-29,764.5041
2026-04-30,769.0891
2026-05-06,773.0644
2026-05-07,777.3468
2026-05-08,787.9803
2026-05-11,793.0939
2026-05-12,781.1708
2026-05-13,784.3946
2026-05-14,774.8639
2026-05-15,771.1475
2026-05-18,772.4626
2026-05-19,776.8626
2026-05-20,768.6601
2026-05-21,742.2823
2026-05-22,756.312
2026-05-25,746.735
2026-05-26,731.0473
2026-05-27,713.0519
2026-05-28,717.1987
2026-05-29,698.5286
2026-06-01,715.9754
2026-06-02,702.5121
2026-06-03,693.933
2026-06-04,682.3653
2026-06-05,689.4422
2026-06-08,668.9454
2026-06-09,673.0126
2026-06-10,662.611
2026-06-11,653.0105
2026-06-12,661.0655
2026-06-15,664.2475
2026-06-16,667.5903
2026-06-17,655.0303
2026-06-18,651.9918
2026-06-22,651.8913
2026-06-23,660.5898
2026-06-24,640.2597
2026-06-25,623.0987
2026-06-26,607.1547
2026-06-29,605.3025
2026-06-30,606.8067
2026-07-01,623.5449
2026-07-02,625.4974
2026-07-03,638.039
2026-07-06,628.7704
2026-07-07,607.5255
2026-07-08,600.1945
2026-07-09,598.4812
2026-07-10,608.5804
2026-07-13,584.2644
2026-07-14,595.1227
2026-07-15,599.2697
2026-07-16,602.3311
2026-07-17,574.5891
2026-07-20,550.154
2026-07-21,547.139
2026-07-22,538.3618
2026-07-23,555.1654
2026-07-24,542.0408
2026-07-27,560.343
2026-07-28,562.1319
2026-07-29,570.7432
2026-07-30,561.0963
2026-07-31,577.2698
2026-08-03,593.107
2026-08-04,602.3195
2026-08-05,607.2874
2026-08-06,611.9846
2026-08-07,613.0655
2026-08-10,627.9636
2026-08-11,626.9377
2026-08-12,633.4923
2026-08-13,625.3213
2026-08-14,625.9101
2026-08-17,637.8038
2026-08-18,636.3215
2026-08-19,612.8363
