month_end,pos_ratio,effective_for
2024-09-30,0.502788,2024-10-31
2024-10-31,0.541525,2024-11-30
2024-11-30,0.561257,2024-12-31
2024-12-31,0.630871,2025-01-31
2025-01-31,0.741609,2025-02-28
2025-02-28,0.818182,2025-03-31
2025-03-31,0.767727,2025-04-30
2025-04-30,0.627409,2025-05-31
2025-05-31,0.529186,2025-06-30
2025-06-30,0.622867,2025-07-31
2025-07-31,0.68702,2025-08-31
2025-08-31,0.683918,2025-09-30
2025-09-30,0.692509,2025-10-31
2025-10-31,0.715141,2025-11-30
2025-11-30,0.751089,2025-12-31
2025-12-31,0.765027,2026-01-31
2026-01-31,0.782814,2026-02-28
2026-02-28,0.806056,2026-03-31
2026-03-31,0.654239,2026-04-30
2026-04-30,0.685084,2026-05-31
2026-05-31,0.716394,2026-06-30
2026-06-30,0.753426,2026-07-31
2026-07-31,0.617398,2026-08-31
2026-08-31,0.522179,2026-09-30
