date,open,close,high,low,vol
2013-03-25,99.500,99.408,99.500,98.814,46249.000
2013-03-26,99.400,99.649,99.700,99.400,29732.000
2013-03-27,99.648,99.625,99.697,99.591,37400.000
2013-03-28,99.630,99.731,99.740,99.604,47058.000
2013-03-29,99.730,99.833,99.836,99.720,23638.000
2013-04-01,99.833,99.945,99.950,99.833,33907.000
2013-04-02,99.952,100.122,100.142,99.952,60449.000
2013-04-03,100.229,100.365,100.429,100.228,52188.000
2013-04-08,100.370,100.291,100.400,100.110,49017.000
2013-04-09,100.300,100.267,100.315,100.229,52027.000
2013-04-10,100.280,100.296,100.302,100.272,55964.000
2013-04-11,100.300,100.302,100.310,100.291,62331.000
2013-04-12,100.304,100.352,100.384,100.304,32170.000
2013-04-15,100.390,100.425,100.468,100.390,38669.000
2013-04-16,100.500,100.516,100.596,100.470,58424.000
2013-04-17,100.570,100.601,100.680,100.543,69382.000
2013-04-18,100.601,100.359,100.615,100.102,51255.000
2013-04-19,100.216,100.110,100.290,100.000,47575.000
2013-04-22,100.065,99.859,100.090,99.831,45338.000
2013-04-23,99.800,100.145,100.155,99.800,50416.000
2013-04-24,100.140,100.154,100.298,100.000,44135.000
2013-04-25,100.154,100.289,100.298,100.105,70460.000
2013-04-26,100.291,100.357,100.500,100.291,62735.000
2013-05-02,100.400,100.497,100.558,100.400,57509.000
2013-05-03,100.591,100.503,100.607,100.480,60391.000
2013-05-06,100.500,100.481,100.565,100.410,53761.000
2013-05-07,100.508,100.530,100.550,100.452,57144.000
2013-05-08,100.590,100.520,100.590,100.500,74555.000
2013-05-09,100.530,100.519,100.535,100.499,70532.000
2013-05-10,100.514,100.552,100.580,100.504,84503.000
2013-05-13,100.550,100.521,100.551,100.479,54418.000
2013-05-14,100.533,100.513,100.533,100.500,58989.000
2013-05-15,100.512,100.474,100.516,100.465,71361.000
2013-05-16,100.474,100.351,100.489,100.350,90090.000
2013-05-17,100.400,100.456,100.509,100.371,70864.000
2013-05-20,100.450,100.428,100.470,100.320,73534.000
2013-05-21,100.409,100.350,100.435,100.300,94072.000
2013-05-22,100.355,100.371,100.389,100.335,86697.000
2013-05-23,100.381,100.364,100.415,100.320,97745.000
2013-05-24,100.371,100.380,100.403,100.369,72952.000
2013-05-27,100.389,100.484,100.500,100.389,92681.000
2013-05-28,100.490,100.490,100.580,100.462,86570.000
2013-05-29,100.501,100.485,100.510,100.452,91710.000
2013-05-30,100.480,100.511,100.560,100.450,86998.000
2013-05-31,100.510,100.503,100.600,100.500,79604.000
2013-06-03,100.285,100.209,100.285,100.180,91586.000
2013-06-04,100.203,100.205,100.259,100.175,80708.000
2013-06-05,100.192,100.180,100.225,100.170,116934.000
2013-06-06,100.180,100.183,100.204,100.162,155120.000
2013-06-07,100.190,100.206,100.260,100.156,160578.000
2013-06-13,100.208,100.211,100.267,100.171,155559.000
2013-06-14,100.220,100.170,100.260,100.161,112053.000
2013-06-17,100.161,100.141,100.185,100.103,117988.000
2013-06-18,100.142,100.088,100.157,100.050,114005.000
2013-06-19,100.061,99.771,100.125,99.700,89283.000
2013-06-20,99.802,98.860,99.809,98.000,63175.000
2013-06-21,98.810,99.031,99.229,98.810,96270.000
2013-06-24,99.090,99.059,99.500,98.501,80438.000
2013-06-25,99.150,99.624,99.687,99.069,75956.000
2013-06-26,99.560,100.033,100.500,99.560,85533.000
2013-06-27,100.066,100.133,100.313,100.066,126224.000
2013-06-28,100.166,100.168,100.298,100.030,108476.000
2013-07-01,100.196,100.161,100.254,100.067,76341.000
2013-07-02,100.199,100.168,100.208,100.140,71865.000
2013-07-03,100.168,100.111,100.190,100.068,65937.000
2013-07-04,100.111,100.108,100.132,100.071,47679.000
2013-07-05,100.137,100.168,100.190,100.101,48185.000
2013-07-08,100.171,100.205,100.228,100.171,47814.000
2013-07-09,100.220,100.075,100.220,99.931,34423.000
2013-07-10,100.090,100.013,100.140,100.011,49400.000
2013-07-11,100.008,99.439,100.030,99.301,36793.000
2013-07-12,99.450,99.285,99.583,99.198,42024.000
2013-07-15,99.286,99.387,99.404,99.236,54235.000
2013-07-16,99.385,99.330,99.385,99.235,56794.000
2013-07-17,99.330,99.157,99.350,99.118,45014.000
2013-07-18,99.150,99.145,99.229,99.013,48857.000
2013-07-19,99.121,99.174,99.380,99.121,42097.000
2013-07-22,99.174,99.106,99.201,99.103,48813.000
2013-07-23,99.115,99.114,99.140,99.080,85910.000
2013-07-24,99.119,99.003,99.130,98.932,49320.000
2013-07-25,98.950,98.950,99.009,98.711,65361.000
2013-07-26,98.988,99.019,99.550,98.987,34624.000
2013-07-29,99.050,99.080,99.258,99.045,54246.000
2013-07-30,99.080,99.195,99.690,99.080,52811.000
2013-07-31,99.245,99.382,99.410,99.210,78347.000
2013-08-01,99.401,99.481,99.500,99.380,78904.000
2013-08-02,99.550,99.280,99.600,99.262,49201.000
2013-08-05,99.292,99.280,99.359,99.247,82713.000
2013-08-06,99.296,99.290,99.348,99.255,83455.000
2013-08-07,99.340,98.946,99.340,98.900,52913.000
2013-08-08,98.996,98.790,99.010,98.703,52926.000
2013-08-09,98.750,98.761,98.941,98.735,63742.000
2013-08-12,98.760,98.640,98.838,98.601,63488.000
2013-08-13,98.650,98.470,98.697,98.456,62007.000
