date,close_true,low
2017-08-24,99.487,92.000
2017-08-25,99.809,99.001
2017-08-28,99.979,99.790
2017-08-29,99.773,99.753
2017-08-30,99.877,99.735
2017-08-31,99.998,98.853
2017-09-01,99.866,99.815
2017-09-04,99.878,99.867
2017-09-05,99.870,99.277
2017-09-06,99.871,99.830
2017-09-07,99.822,99.710
2017-09-08,99.961,99.751
2017-09-11,99.998,99.816
2017-09-12,99.962,99.951
2017-09-13,99.995,99.935
2017-09-14,100.009,99.408
2017-09-15,100.195,99.730
2017-09-18,100.276,100.041
2017-09-19,100.121,100.030
2017-09-20,100.225,100.124
2017-09-21,100.280,100.119
2017-09-22,100.454,100.103
2017-09-25,100.546,100.126
2017-09-26,100.340,100.200
2017-09-27,100.315,100.206
2017-09-28,100.428,100.318
2017-09-29,100.010,99.921
2017-10-09,100.136,100.111
2017-10-10,100.200,100.133
2017-10-11,99.994,98.001
2017-10-12,99.990,99.007
2017-10-13,99.914,99.664
2017-10-16,99.901,99.502
2017-10-17,99.601,99.564
2017-10-18,99.650,99.600
2017-10-19,99.836,99.600
2017-10-20,99.741,99.522
2017-10-23,99.700,99.629
2017-10-24,99.668,99.550
2017-10-25,99.660,99.500
2017-10-26,99.608,99.408
2017-10-27,99.600,99.308
2017-10-30,99.400,98.640
2017-10-31,99.386,99.100
2017-11-01,99.400,99.156
2017-11-02,99.300,99.203
2017-11-03,99.200,99.200
2017-11-06,99.214,99.200
2017-11-07,99.215,99.214
2017-11-08,99.200,99.001
2017-11-09,99.098,98.500
2017-11-10,98.676,98.580
2017-11-13,98.700,98.504
2017-11-14,98.980,98.502
2017-11-15,98.288,97.922
2017-11-16,98.000,98.000
2017-11-17,98.183,98.010
2017-11-20,98.213,98.200
2017-11-21,98.231,98.213
2017-11-22,98.048,98.039
2017-11-23,98.880,97.964
2017-11-24,98.200,98.059
2017-11-27,98.697,98.150
2017-11-28,98.100,98.100
2017-11-29,97.454,97.100
2017-11-30,97.822,97.270
2017-12-01,97.996,97.770
2017-12-04,97.993,97.901
2017-12-05,97.994,97.831
2017-12-06,97.850,97.834
2017-12-07,98.002,97.704
2017-12-08,97.802,97.802
2017-12-11,97.805,97.614
2017-12-12,97.900,97.750
2017-12-13,97.949,97.806
2017-12-14,97.903,97.903
2017-12-15,97.801,97.800
2017-12-18,97.900,97.825
2017-12-19,97.850,97.813
2017-12-20,98.150,97.853
2017-12-21,98.148,97.962
2017-12-22,98.155,98.126
2017-12-25,98.160,98.011
2017-12-26,98.250,98.001
2017-12-27,98.113,98.113
2017-12-28,97.050,97.050
2017-12-29,98.116,97.502
2018-01-02,98.200,98.002
2018-01-03,98.160,98.101
2018-01-04,98.161,98.081
2018-01-05,98.078,97.501
2018-01-08,97.986,97.851
2018-01-09,98.124,97.855
2018-01-10,98.004,97.930
2018-01-11,97.742,97.621
2018-01-12,97.755,97.751
2018-01-15,97.800,97.650
2018-01-16,97.859,97.731
2018-01-17,97.634,97.600
2018-01-18,97.702,97.551
2018-01-19,97.997,97.641
2018-01-22,98.456,97.714
2018-01-23,98.250,98.200
2018-01-24,98.250,98.061
2018-01-25,97.816,97.502
2018-01-26,98.027,98.001
2018-01-29,98.010,98.000
2018-01-30,97.861,97.852
2018-01-31,98.053,97.763
2018-02-01,97.966,97.851
2018-02-02,98.168,97.931
2018-02-05,98.170,98.100
2018-02-06,98.001,97.951
2018-02-07,98.201,98.100
2018-02-08,98.342,98.200
2018-02-09,98.400,98.280
2018-02-12,98.251,98.251
2018-02-13,98.282,98.263
2018-02-14,98.891,98.285
2018-02-22,98.600,98.600
2018-02-23,98.600,98.371
2018-02-26,99.345,98.980
2018-02-27,99.500,99.348
2018-02-28,99.467,99.400
2018-03-01,99.392,99.111
2018-03-02,99.292,99.060
2018-03-05,99.201,99.060
2018-03-06,99.255,99.011
2018-03-07,99.200,99.032
2018-03-08,99.072,99.000
2018-03-09,99.080,99.005
2018-03-12,99.092,99.029
2018-03-13,99.050,99.004
2018-03-14,98.978,98.952
2018-03-15,99.019,98.988
2018-03-16,99.030,98.995
2018-03-19,99.170,99.030
2018-03-20,99.200,99.075
2018-03-21,99.184,99.120
2018-03-22,99.390,99.185
2018-03-23,99.990,99.500
2018-03-26,99.700,99.550
2018-03-27,99.560,99.470
2018-03-28,99.668,99.563
2018-03-29,99.331,99.282
2018-03-30,99.565,99.334
2018-04-02,99.769,99.334
2018-04-03,99.780,99.621
2018-04-04,99.879,99.518
2018-04-09,100.226,99.703
2018-04-10,100.151,100.101
2018-04-11,100.251,100.082
2018-04-12,100.296,100.248
2018-04-13,100.290,100.286
2018-04-16,100.400,100.222
2018-04-17,100.699,100.131
2018-04-18,101.001,100.596
2018-04-19,101.600,101.330
2018-04-20,101.621,101.597
2018-04-23,101.600,101.031
2018-04-24,101.700,101.500
2018-04-25,101.600,101.600
2018-04-26,101.600,101.600
2018-04-27,101.600,101.600
2018-05-02,101.091,101.088
2018-05-03,101.110,101.000
2018-05-04,101.186,101.186
2018-05-07,101.203,101.189
2018-05-08,101.011,101.011
2018-05-09,100.770,100.700
2018-05-10,100.600,100.600
2018-05-11,100.700,100.700
2018-05-14,100.206,100.206
2018-05-15,100.401,100.209
2018-05-16,100.500,100.400
2018-05-17,100.600,100.400
2018-05-18,100.600,100.405
2018-05-21,100.700,100.603
2018-05-22,100.900,100.700
2018-05-23,100.900,100.900
2018-05-24,101.143,101.100
2018-05-25,101.081,100.900
2018-05-28,101.559,101.084
2018-05-29,101.634,101.598
2018-05-30,101.800,101.650
2018-05-31,101.791,101.600
2018-06-01,101.704,101.600
2018-06-04,101.642,101.542
2018-06-05,101.424,101.342
2018-06-06,101.466,101.267
2018-06-07,101.267,101.267
2018-06-08,101.109,100.590
2018-06-11,101.362,100.900
2018-06-12,101.344,100.452
2018-06-13,101.101,101.101
2018-06-14,101.161,100.350
2018-06-15,101.261,101.164
2018-06-19,101.103,101.101
2018-06-20,101.300,101.106
2018-06-21,101.600,101.300
2018-06-22,101.788,101.301
2018-06-25,102.000,101.301
2018-06-26,101.900,101.900
2018-06-27,101.601,101.601
2018-06-28,101.900,101.604
2018-06-29,102.200,101.459
2018-07-02,102.396,102.203
2018-07-03,102.796,102.399
2018-07-04,102.500,102.500
2018-07-05,102.500,102.500
2018-07-06,102.500,102.497
2018-07-09,102.300,102.210
2018-07-10,102.374,102.100
2018-07-11,102.157,102.140
2018-07-12,102.400,102.166
2018-07-13,102.401,102.286
2018-07-16,102.740,102.413
2018-07-17,102.880,102.790
2018-07-18,102.728,102.727
2018-07-19,102.999,102.671
2018-07-20,103.100,103.100
2018-07-23,102.800,102.600
2018-07-24,102.614,102.601
2018-07-25,102.500,102.401
2018-07-26,102.589,102.400
2018-07-27,102.649,102.500
2018-07-30,102.600,102.599
2018-07-31,102.699,102.488
2018-08-01,102.698,102.698
2018-08-02,103.200,102.708
2018-08-03,103.300,102.845
2018-08-06,103.689,103.111
2018-08-07,103.260,103.201
2018-08-08,102.839,102.812
2018-08-09,102.851,102.700
2018-08-10,102.905,102.631
2018-08-13,102.341,102.341
2018-08-14,102.541,102.541
2018-08-15,102.885,102.700
2018-08-16,102.605,102.309
2018-08-20,101.751,101.751
2018-08-21,101.951,101.751
2018-08-22,101.740,101.716
2018-08-23,102.200,101.999
2018-08-24,102.005,102.000
2018-08-27,102.227,102.222
2018-08-28,102.218,102.000
2018-08-29,102.333,102.296
2018-08-30,102.496,102.300
2018-08-31,102.577,101.464
2018-09-03,102.390,102.268
2018-09-04,102.381,101.930
2018-09-05,102.300,102.165
2018-09-06,102.188,101.398
2018-09-07,102.157,102.049
2018-09-10,102.110,102.100
2018-09-11,101.887,101.441
2018-09-12,101.771,101.599
2018-09-13,101.751,101.733
2018-09-14,101.980,101.781
2018-09-17,102.101,101.919
2018-09-18,102.184,102.101
2018-09-19,102.168,102.168
2018-09-20,101.970,101.899
2018-09-21,101.819,101.808
2018-09-25,101.990,101.851
2018-09-26,102.030,101.910
2018-09-27,102.140,102.033
2018-09-28,102.373,102.239
2018-10-08,102.407,102.100
2018-10-09,102.532,102.108
2018-10-10,102.470,102.458
2018-10-11,102.639,102.500
2018-10-12,102.814,102.685
2018-10-15,102.806,102.806
2018-10-16,102.840,102.836
2018-10-17,102.916,102.900
2018-10-18,102.893,102.890
2018-10-19,103.068,102.779
2018-10-22,102.950,102.950
2018-10-23,102.897,102.797
2018-10-24,102.990,102.603
2018-10-25,103.169,103.169
2018-10-26,103.183,102.900
2018-10-29,103.195,102.878
2018-10-30,103.431,103.350
2018-10-31,103.402,103.400
2018-11-01,103.471,103.470
2018-11-02,103.420,103.420
2018-11-05,103.293,102.700
2018-11-06,103.461,102.718
2018-11-07,103.583,103.491
2018-11-08,103.900,103.815
2018-11-09,103.830,103.800
2018-11-12,103.871,103.871
2018-11-13,103.875,103.811
2018-11-14,104.203,103.980
2018-11-15,104.511,104.020
2018-11-16,104.708,104.560
2018-11-19,104.843,104.833
2018-11-20,104.736,104.645
2018-11-21,104.743,104.697
2018-11-22,104.674,104.674
2018-11-23,104.684,104.502
2018-11-26,104.498,104.482
2018-11-27,104.507,104.298
2018-11-28,104.545,104.520
2018-11-29,104.752,104.610
2018-11-30,104.587,101.645
2018-12-03,104.737,104.400
2018-12-04,104.966,104.778
2018-12-05,105.223,105.004
2018-12-06,105.339,105.202
2018-12-07,105.380,105.255
2018-12-10,105.499,105.350
2018-12-11,105.650,105.548
2018-12-12,105.685,105.504
2018-12-13,105.335,105.250
2018-12-14,104.982,104.729
2018-12-17,104.910,104.900
2018-12-18,104.746,104.600
2018-12-19,104.885,104.770
2018-12-20,105.195,105.030
2018-12-21,105.422,105.195
2018-12-24,105.250,105.209
2018-12-25,105.306,105.150
2018-12-26,105.536,105.349
2018-12-27,105.658,105.406
2018-12-28,106.134,105.711
2019-01-02,106.080,105.688
2019-01-03,106.257,106.080
2019-01-04,106.119,106.000
2019-01-07,106.007,105.910
2019-01-08,106.092,106.000
2019-01-09,106.172,106.075
2019-01-10,106.191,106.182
2019-01-11,106.184,106.141
2019-01-14,106.144,106.100
2019-01-15,106.100,106.059
2019-01-16,106.352,106.108
2019-01-17,106.539,106.480
2019-01-18,106.440,106.430
2019-01-21,106.300,106.195
2019-01-22,106.319,106.190
2019-01-23,106.221,106.198
2019-01-24,106.263,106.167
2019-01-25,106.113,106.083
2019-01-28,106.109,106.010
2019-01-29,106.181,106.063
2019-01-30,106.269,106.250
2019-01-31,106.351,106.300
2019-02-01,106.456,106.419
2019-02-11,106.641,106.400
2019-02-12,106.720,106.645
2019-02-13,106.779,106.721
2019-02-14,106.651,106.075
2019-02-15,106.779,106.670
2019-02-18,106.676,106.675
2019-02-19,106.587,106.420
2019-02-20,106.475,106.428
2019-02-21,106.401,106.354
2019-02-22,106.234,106.159
2019-02-25,106.114,106.000
2019-02-26,105.800,105.680
2019-02-27,106.000,105.808
2019-02-28,106.010,106.000
2019-03-01,105.960,105.885
2019-03-04,105.947,105.700
2019-03-05,105.840,105.800
2019-03-06,105.833,105.730
2019-03-07,106.176,105.838
2019-03-08,106.236,106.181
2019-03-11,106.232,106.218
2019-03-12,106.317,106.233
2019-03-13,106.373,106.241
2019-03-14,106.357,106.357
2019-03-15,106.394,106.307
2019-03-18,106.347,105.600
2019-03-19,106.401,106.152
2019-03-20,106.489,106.450
2019-03-21,106.486,106.430
2019-03-22,106.660,106.488
2019-03-25,106.889,106.760
2019-03-26,107.128,106.850
2019-03-27,107.090,107.032
2019-03-28,106.990,106.990
2019-03-29,106.880,106.733
2019-04-01,106.782,106.568
2019-04-02,106.429,106.340
2019-04-03,106.020,106.001
2019-04-04,105.725,105.706
2019-04-08,105.500,105.200
2019-04-09,105.533,105.505
2019-04-10,105.351,104.700
2019-04-11,105.565,105.351
2019-04-12,105.420,105.401
2019-04-15,104.860,104.733
2019-04-16,104.620,104.510
2019-04-17,104.895,104.501
2019-04-18,104.801,104.563
2019-04-19,104.911,104.889
2019-04-22,104.707,104.659
2019-04-23,104.539,104.461
2019-04-24,104.450,104.448
2019-04-25,104.529,104.252
2019-04-26,104.645,104.530
2019-04-29,104.490,104.435
2019-04-30,104.796,104.491
2019-05-06,105.090,104.896
2019-05-07,105.128,105.022
2019-05-08,105.212,105.199
2019-05-09,105.350,105.300
2019-05-10,105.530,105.263
2019-05-13,105.949,105.630
2019-05-14,105.810,105.798
2019-05-15,105.804,105.522
2019-05-16,105.870,105.801
2019-05-17,105.994,105.871
2019-05-20,106.006,105.909
2019-05-21,105.786,105.301
2019-05-22,105.699,105.620
2019-05-23,105.721,105.562
2019-05-24,105.651,105.626
2019-05-27,105.320,105.045
2019-05-28,105.543,105.363
2019-05-29,105.720,105.557
2019-05-30,105.826,105.720
2019-05-31,105.917,105.859
2019-06-03,106.114,106.000
2019-06-04,106.324,106.115
2019-06-05,106.473,106.225
2019-06-06,106.496,106.422
2019-06-10,106.401,106.280
2019-06-11,106.161,105.952
2019-06-12,106.140,106.062
2019-06-13,106.275,106.145
2019-06-14,106.440,106.283
2019-06-17,106.512,106.440
2019-06-18,106.410,106.389
2019-06-19,106.353,106.001
2019-06-20,106.402,106.400
2019-06-21,106.401,106.300
2019-06-24,106.370,106.350
2019-06-25,106.444,106.371
2019-06-26,106.392,106.391
