date,nav_raw,nav_q3z,nav_stack_base,nav_stack_comb_best,nav_ddc15_actual,pos_MA15_base,pos_comb_best,pos_ddc_base,pos_ddc_comb,dd_raw,rv_hi
2006-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-01-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2006-02-06,0.9993125418485804,0.9993125418485804,0.9993125418485804,0.9993125418485804,0.9993125418485804,1.0,1.0,1.0,1.0,-0.0006874581514195732,0.0
2006-02-07,1.002719746289375,1.002719746289375,1.002719746289375,1.002719746289375,1.002719746289375,1.0,1.0,1.0,1.0,0.0,0.0
2006-02-08,1.0128424047458642,1.0128424047458642,1.0128424047458642,1.0128424047458642,1.0128424047458642,1.0,1.0,1.0,1.0,0.0,0.0
2006-02-09,0.9947561509191962,0.9947561509191962,0.9947561509191962,0.9947561509191962,0.9947561509191962,1.0,1.0,1.0,1.0,-0.017856927930664623,0.0
2006-02-10,1.0060004147260335,1.0060004147260335,1.0060004147260335,1.0060004147260335,1.0060004147260335,1.0,1.0,1.0,1.0,-0.006755236538054876,0.0
2006-02-13,1.0088081710679762,1.0088081710679762,1.0088081710679762,1.0088081710679762,1.0088081710679762,1.0,1.0,1.0,1.0,-0.003983081335245053,0.0
2006-02-14,1.0188836231956413,1.0188836231956413,1.0188836231956413,1.0188836231956413,1.0188836231956413,1.0,1.0,1.0,1.0,0.0,0.0
2006-02-15,1.0170278298679527,1.0170278298679527,1.0170278298679527,1.0170278298679527,1.0170278298679527,1.0,1.0,1.0,1.0,-0.0018213987205605298,0.0
2006-02-16,0.988761133786481,0.988761133786481,0.988761133786481,0.988761133786481,0.988761133786481,1.0,1.0,1.0,1.0,-0.02956421000730558,0.0
2006-02-17,0.9865005137711672,0.9865005137711672,0.9865005137711672,0.988761133786481,0.9865005137711672,1.0,0.0,1.0,1.0,-0.03178293250303432,0.0
2006-02-20,0.979945910248114,0.979945910248114,0.979945910248114,0.988761133786481,0.979945910248114,1.0,0.0,1.0,1.0,-0.03821605535812078,0.0
2006-02-21,0.9893241674680264,0.9893241674680265,0.9893241674680265,0.988761133786481,0.9893241674680264,1.0,0.0,1.0,1.0,-0.029011611389830883,0.0
2006-02-22,0.9922995117058389,0.992299511705839,0.992299511705839,0.988761133786481,0.9922995117058389,1.0,0.0,1.0,1.0,-0.026091411113688956,0.0
