,asof_date,px,sma_eng,sma_asof,vol_eng,vol_asof,w_eng,w_asof,is_cal_nan,is_warmup_nan,w_disagree
2013-07-31,2013-07-31,2.657000,,,,,0.000000,0.000000,False,True,False
2013-08-31,2013-08-30,2.787000,,,,,0.000000,0.000000,False,True,False
2013-09-30,2013-09-30,2.649000,,,,,0.000000,0.000000,False,True,False
2013-10-31,2013-10-31,2.613000,,,0.168879,0.168879,0.000000,0.000000,False,True,False
2013-11-30,2013-11-29,2.443000,,,,0.137053,0.000000,0.000000,False,True,False
2013-12-31,2013-12-31,2.376000,,,0.138550,0.138550,0.000000,0.000000,False,True,False
2014-01-31,2014-01-30,2.461000,,,,0.132472,0.000000,0.000000,False,True,False
2014-02-28,2014-02-28,2.621000,,,0.136985,0.136985,0.000000,0.000000,False,True,False
2014-03-31,2014-03-31,2.573000,,,0.134594,0.134594,0.000000,0.000000,False,True,False
2014-04-30,2014-04-30,2.612000,,,0.136811,0.136811,0.000000,0.000000,False,True,False
2014-05-31,2014-05-30,2.535000,,2.569950,,0.120159,0.000000,0.000000,True,False,False
2014-06-30,2014-06-30,2.629000,2.557925,2.557925,0.111869,0.111869,0.893905,0.893905,False,False,False
2014-07-31,2014-07-31,2.577000,2.550955,2.550955,0.102451,0.102451,0.976073,0.976073,False,False,False
2014-08-31,2014-08-29,2.554000,,2.549025,,0.099333,0.000000,1.000000,True,False,True
2014-09-30,2014-09-30,2.429000,2.548585,2.548585,0.086490,0.086490,0.000000,0.000000,False,False,False
2014-10-31,2014-10-31,2.349000,2.551145,2.551145,0.090836,0.090836,0.000000,0.000000,False,False,False
2014-11-30,2014-11-28,2.353000,,2.538595,,0.124231,0.000000,0.000000,True,False,False
2014-12-31,2014-12-31,2.412000,2.516055,2.516055,0.167163,0.167163,0.000000,0.000000,False,False,False
2015-01-31,2015-01-30,2.542000,,2.505840,,0.172707,0.000000,0.579014,True,False,True
2015-02-28,2015-02-27,2.465000,,2.499675,,0.170896,0.000000,0.000000,True,False,False
2015-03-31,2015-03-31,2.366000,2.479220,2.479220,0.144088,0.144088,0.000000,0.000000,False,False,False
2015-04-30,2015-04-30,2.409000,2.458890,2.458890,0.125102,0.125102,0.000000,0.000000,False,False,False
2015-05-31,2015-05-29,2.381000,,2.437890,,0.111775,0.000000,0.000000,True,False,False
2015-06-30,2015-06-30,2.346000,2.416150,2.416150,0.087496,0.087496,0.000000,0.000000,False,False,False
2015-07-31,2015-07-31,2.167000,2.393980,2.393980,0.139829,0.139829,0.000000,0.000000,False,False,False
2015-08-31,2015-08-31,2.339000,2.383100,2.383100,0.171012,0.171012,0.000000,0.000000,False,False,False
2015-09-30,2015-09-30,2.314000,2.380390,2.380390,0.182040,0.182040,0.000000,0.000000,False,False,False
2015-10-31,2015-10-30,2.351000,,2.378370,,0.147687,0.000000,0.000000,True,False,False
2015-11-30,2015-11-30,2.183000,2.349175,2.349175,0.121201,0.121201,0.000000,0.000000,False,False,False
2015-12-31,2015-12-31,2.232000,2.320840,2.320840,0.116407,0.116407,0.000000,0.000000,False,False,False
2016-01-31,2016-01-29,2.363000,,2.315545,,0.124844,0.000000,0.801001,True,False,True
2016-02-29,2016-02-29,2.587000,2.325320,2.325320,0.147255,0.147255,0.679095,0.679095,False,False,False
2016-03-31,2016-03-31,2.548000,2.348775,2.348775,0.166068,0.166068,0.602165,0.602165,False,False,False
2016-04-30,2016-04-29,2.660000,,2.371590,,0.162567,0.000000,0.615129,True,False,True
2016-05-31,2016-05-31,2.576000,2.413955,2.413955,0.135635,0.135635,0.737273,0.737273,False,False,False
2016-06-30,2016-06-30,2.818000,2.454700,2.454700,0.171344,0.171344,0.583622,0.583622,False,False,False
2016-07-31,2016-07-29,2.859000,,2.513475,,0.172216,0.000000,0.580665,True,False,True
